id,smiles,confnum,homo,lumo,gap
1,COC(=O)/C(=C/c1cc(C)c(c2ccc(c3sc(c4cc5c(s4)c(OC)c4cc(c6cc(C)c(c7ccc(c8sc(/C=C(\C#N)/C(=O)OC)cc8C)s7)s6)sc4c5OC)cc3C)s2)s1)/C#N,0,-0.246,-0.011,0.235
2,Cc1csc(c2ccc(c3cc(C)cs3)c3nsnc23)c1,0,-0.259,0.003,0.262
3,COC(=O)/C(=C/c1cc(C)c(c2cc(C)c(c3ccc(c4sc(c5sc(/C=C(\C#N)/C(=O)OC)cc5C)cc4C)s3)s2)s1)/C#N,0,-0.251,-0.017,0.234
4,C[Si]1(C)c2ccsc2c2sc(c3nc4sc(c5cc6c(s5)c5sc(c7cc8sccc8s7)cc5[Si]6(C)C)nc4s3)cc12,0,-0.237,0.008,0.245
5,COc1c2ccsc2c(OC)c2cc(c3sc(c4scc5c4[C@@H]4C=C[C@H]5CC4(C)C)c4c3[C@@H]3C=C[C@H]4C(C)(C)C3)sc12,0,-0.253,0.047,0.3
6,Cn1c(=O)c2c(c3ccc(c4cc5c(s4)c4sccc4[Si]5(C)C)s3)n(C)c(=O)c2c1c1cccs1,0,-0.236,0.001,0.237
7,C#Cc1cc2c(s1)c1sc(C#Cc3scc4nc(c5ccccc5)c(c5ccccc5)nc34)cc1n2C,0,-0.24,0.005,0.245
8,CC1(C)c2cc(c3ccc(/C=C(\C#N)/C(=O)O)s3)ccc2c2ccc(N(c3ccccc3)c3c4ccccc4cc4ccccc34)cc12,0,-0.255,0.004,0.259
9,CC1(C)c2cc(c3ccc(c4ccc(c5ccc(c6ccc(C=C(C#N)C#N)s6)s5)s4)s3)ccc2c2ccc(N(c3ccccc3)c3ccccc3)cc12,0,-0.248,-0.017,0.231
10,Cc1ccsc1c1nc2sc(c3sc(c4cc(C)c(c5nc6sc(c7sccc7C)nc6s5)s4)cc3C)nc2s1,0,-0.246,0.001,0.247
11,CC1(C)CC(=C/C(=C(\C#N)/C(=O)O)/C1)/C=C/c1ccc(N(c2ccccc2)c2ccccc2)cc1,0,-0.264,0.012,0.276
12,COc1ccc(N(c2ccc(OC)cc2)c2ccc(c3ccc(c4ccc(/C=C(\C#N)/C(=O)O)s4)s3)cc2)cc1,0,-0.252,-0.001,0.251
13,Cc1ccc(c2nc3c(c4cccs4)ccc(c4ccc(c5ccc6c7ccccc7n(C)c6c5)s4)c3nc2c2ccc(C)s2)s1,0,-0.245,0.02,0.265
14,Cn1c2ccc(C=C(C#N)C#N)cc2c2cc(C=C(C#N)C#N)ccc12,0,-0.318,-0.001,0.317
15,COc1c2ccsc2c(OC)c2cc(c3sc(c4ccc(c5cc(C)cs5)c5nsnc45)cc3C)sc12,0,-0.246,-0.004,0.242
16,COC(=O)c1sc2c(c3ccc(c4cc5c(s4)c(c4ccc(C)s4)c4ccsc4c5c4ccc(C)s4)s3)sc(c3cccs3)c2c1F,0,-0.243,0.005,0.248
17,Cc1csc(c2cc3c4nsnc4c(c4cc(C)c(c5cc6c(s5)c(c5cc(C)c(C)s5)c5ccsc5c6c5sc(C)c(C)c5)s4)cc3c3nsnc23)c1,0,-0.243,-0.016,0.227
18,COC(=O)c1cc2csc(c3cc4c(s3)c(OC)c3ccsc3c4OC)c2s1,0,-0.258,0.031,0.289
19,Cc1cc2cc3c(C#C[Si](C)(C)C)c4cc5sc(C)cc5cc4c(C#C[Si](C)(C)C)c3cc2s1,0,-0.233,0.008,0.241
20,COCc1sc2c(csc2c2cc3c(s2)c(OC)c2ccsc2c3OC)c1F,0,-0.255,0.039,0.294
21,C#Cc1sc(C#Cc2scc3nc(c4ccccc4)c(c4ccccc4)nc23)c(C)c1C,0,-0.258,0.008,0.266
22,Cc1cc(C)c(c2c3cc(c4ccc(c5ccc(c6cccs6)c6nsnc56)s4)sc3c(c3sc(C)cc3C)c3ccsc23)s1,0,-0.246,-0.004,0.242
23,Cn1c(=O)c2c(c3ccc(c4cc5c(s4)c4sccc4C5(C)C)s3)n(C)c(=O)c2c1c1cccs1,0,-0.234,0.003,0.237
24,Cn1c(=O)c2c(c3ccc(c4ccc5c(c4)C(C)(C)c4ccccc54)s3)n(C)c(=O)c2c1c1cccs1,0,-0.24,0.005,0.245
25,Cn1c(c2ccc(/C=C(\C#N)/C(=O)O)s2)ccc1c1ccc2c(c1)c1cc(N(c3ccccc3)c3ccccc3)ccc1n2C,0,-0.256,0.011,0.267
26,N#C/C(=C\c1ccc(/C(=C/c2ccc(c3ccc(N(c4ccccc4)c4ccccc4)cc3)s2)/C#N)s1)/C(=O)O,0,-0.265,-0.014,0.251
27,COc1cccc(c2nc3c(c4cccs4)ccc(c4ccc(c5cc6c(s5)c(OC)c5ccsc5c6OC)s4)c3nc2c2cccc(OC)c2)c1,0,-0.249,0.013,0.262
28,Cc1c(C)c(c2ccc(c3sc(c4ccc(C=C(C#N)C#N)s4)c(C)c3C)s2)sc1c1ccc(C=C(C#N)C#N)s1,0,-0.268,-0.026,0.242
29,Cc1ccc(c2ccc(c3cc(F)c(c4cc5c(s4)c4sc(c6c7nsnc7c(c7ccc(c8ccc(C)s8)s7)cc6F)cc4[Si]5(C)C)c4nsnc34)s2)s1,0,-0.23,-0.013,0.217
30,Cc1c(c2cccs2)sc2c(C)c(c3ccc(c4scc5c4C(=O)N(C)C5=O)s3)sc12,0,-0.258,0.013,0.271
31,C=Cc1ccc2c3ccc(/C=C/c4sc(c5ccc(c6ccc(c7cc(C)cs7)s6)s5)cc4C)cc3n(c3ccc(OC)cc3)c2c1,0,-0.233,0.022,0.255
32,Cc1ccc(c2csc(c3cc(c4ccc(C)s4)c(c4ccc(c5c6c(=O)n(C)c(c7cccs7)c6c(=O)n5C)s4)s3)c2)s1,0,-0.239,0,0.239
33,COc1ccc(c2nc3c(nc2c2ccc(OC)cc2)c(c2ccc(c4ccc5c(c4)C(C)(C)c4ccccc54)s2)sc3c2cccs2)cc1,0,-0.227,0.004,0.231
