name,Core_Id,Core_SubType,Bridge_Id,Bridge_SubType,Terminal_Id,Terminal_SubType
A1,7,1,8,1,1,1
A2,7,1,8,1,2,3
DPP1,3,1,0,0,9,1
FRdCN2,3,2,"(1,3)",0,2,2
IM-IDT3,7,1,9,1,4,0
IM-BDTIDT2,5,1,9,1,4,0
ITIC-Th,8,1,0,0,4,0
ITIC,8,2,0,0,4,0
pO-ITIC,8,3,0,0,4,0
mO-ITIC,8,4,0,0,4,0
FBM,3,1,1,0,10,0
CBM,11,1,1,0,10,0
CDTBM,12,1,1,0,10,0
FpO-ITIC,8,5,0,0,4,0
4TIC,14,1,0,0,4,0
6TIC,13,2,0,0,4,0
BDCPDT-IC,15,2,0,0,4,0
ITCPTC,8,2,0,0,7,0
BT-IC,15,4,0,0,4,0
DC-IDT2T,7,1,2,0,4,0
DICTF,3,1,2,0,4,0
ATT-1,7,1,5,1,2,1
BAF-2HDT,3,3,1,0,14,1
IDIDT-C8,28,1,2,0,4,0
BTA2,7,1,10,1,15,1
DCI-2,19,1,"(2,2)",4,4,0
Cz-IN,11,1,2,0,6,0
Cz-ECA,11,1,2,0,13,0
DTCC-IC,20,1,0,0,4,0
DTNIC6,21,1,0,0,4,0
DTNIC8,21,2,0,0,4,0
Cz-RH,11,1,2,0,1,2
Flu-IN,3,1,2,0,6,0
Flu-ECA,3,1,2,0,13,0
Flu-RH,3,1,2,0,1,2
DTPC-IC,22,1,0,0,4,0
ITTIC,8,2,2,0,4,0
FTB,3,1,2,0,12,1
FDICTF,27,1,0,0,4,0
D5T6F-M,18,1,"(2,2)",4,10,0
D7T8F-M,18,1,"(2,2,2)",4,10,0
F-H,27,1,0,0,4,0
IDTT(TCV)2,7,1,2,0,11,0
IDTCR,7,1,2,0,2,1
DTBT(TDPP)2,16,0,"(2,2)",0,9,1
DTfBT(TDPP)2,16,1,"(2,2)",0,9,1
ITIC,8,2,0,0,4,0
IC-1IDT-IC,7,1,0,0,4,0
IC-2IDT-IC,0,0,9,1,4,0
IDIC,7,2,0,0,4,0
CDTDI,12,2,2,0,4,0
IDT2Se,7,1,11,0,4,0
N7,11,1,2,0,9,1
TT-BBAR,0,0,2,0,12,4
IDT-BC6,7,1,12,1,4,0
IDT-BOC6,7,1,12,2,4,0
IDTIDT-IC,29,1,0,0,4,0
IDT-Tz,7,1,6,0,4,0
FDNCTF,27,1,0,0,5,0
IEIC,7,1,2,2,4,0
IHIC-N,21,3,0,0,4,0
INIC,31,1,0,0,4,0
INIC1,31,1,0,0,4,15
INIC2,31,1,0,0,4,1
TT-OBAR,0,0,2,0,12,3
INIC3,31,1,0,0,4,2
ITIC,8,2,0,0,4,0
ITIC-OE,8,12,0,0,4,0
ITIC-SC6,8,7,0,0,4,0
ITIC-SC8,8,8,0,0,4,0
ITIC-SC2C6,8,9,0,0,4,0
IEICO,7,1,2,3,4,0
m-ITIC,8,10,0,0,4,0
m-ITIC-OR,8,11,0,0,4,0
FTTB,3,1,2,0,12,2
IDT(DCV)2,7,1,0,0,10,0
IDT(TCV)2,7,1,0,0,11,0
