Name,SMILE
Y6,CCC(CCCC)CN1C2=C(SC3=C2SC(/C=C(C(C4=C5C=C(F)C(F)=C4)=O)/C5=C(C#N)\C#N)=C3CCCCCCCCCCC)C6=C1C(N(CC(CCCC)CC)C7=C8SC9=C7SC(/C=C(C(C%10=C%11C=C(F)C(F)=C%10)=O)/C%11=C(C#N)\C#N)=C9CCCCCCCCCCC)=C8C%12=NSN=C6%12
A1,CCCCCCC1=CC=C(C(C2=CC=C(C=C2)CCCCCC)(C3=C4C=C(C5=C3)C(C6=CC=C(C=C6)CCCCCC)(C7C5SC(C8=C9C(SC(C(OCC)=O)=C9)=C(C%10=NSN=C%108)/C=C(C%11=O)\SC(N%11CCCCCCCC)=S)=C7)C%12=CC=C(C=C%12)CCCCCC)C%13C4SC(C%14=C%15C(SC(C(OCC)=O)=C%15)=C(C%16=NSN=C%16%14)/C=C(C%17=O)\SC(N%17CCCCCCCC)=S)=C%13)C=C1
A2,CCCCCCC1=CC=C(C(C2=CC=C(C=C2)CCCCCC)(C3=C4C=C(C5=C3)C(C6=CC=C(C=C6)CCCCCC)(C7C5SC(C8=C9C(SC(C(OCC)=O)=C9)=C(C%10=NSN=C%108)/C=C(C%11=O)\S/C(N%11CCCCCCCC)=C(C#N)\C#N)=C7)C%12=CC=C(C=C%12)CCCCCC)C%13C4SC(C%14=C%15C(SC(C(OCC)=O)=C%15)=C(C%16=NSN=C%16%14)/C=C(C%17=O)\S/C(N%17CCCCCCCC)=C(C#N)\C#N)=C%13)C=C1
DPP1,CCCCCCCCC1(CCCCCCCC)C2=C(C=CC(C3=CC=C(C(N(CC(CCCC)CC)C4=O)=C5C4=C(C6=CC=CS6)N(CC(CCCC)CC)C5=O)S3)=C2)C7=CC=C(C8=CC=C(S8)C(N9CC(CCCC)CC)=C%10C(N(CC(CCCC)CC)C(C%11=CC=CS%11)=C%10C9=O)=O)C=C71
FRdCN2,O=C1/C(S/C(N1CCCCCC)=C(C#N)\C#N)=C/C2=CC=C(C3=CC=C(C4=CC=C(C(C=CC(C5=CC=C(C6=CC=C(/C=C(S/C(N7CCCCCC)=C(C#N)/C#N)/C7=O)O6)C8=NSN=C58)=C9)=C9C%10(CC(CCCC)CC)CC(CCCC)CC)C%10=C4)C%11=NSN=C3%11)O2
IM-IDT3,CCCCCCC1=CC=C(C=C1)C(C2=C3C=C(C(C4C5SC(C6=CC(C7S6)C(C8=CC=C(CCCCCC)C=C8)(C9=C7C=C(C(C%10C%11SC(/C=C(C(C%12=C%13C=CC=C%12)=O)\C%13=C(C#N)/C#N)=C%10)(C%14=CC=C(CCCCCC)C=C%14)C%15=CC=C(CCCCCC)C=C%15)C%11=C9)C(C=C%16)=CC=C%16CCCCCC)=C4)(C%17=CC=C(CCCCCC)C=C%17)C%18=CC=C(CCCCCC)C=C%18)C5=C2)(C%19C3SC(C%20=CC(C%21S%20)C(C%22=CC=C(CCCCCC)C=C%22)(C%23=CC=C(CCCCCC)C=C%23)C(C%21=C%24)=CC%25=C%24C(C%26=CC=C(CCCCCC)C=C%26)(C%27C%25SC(/C=C(C(C%28=C%29C=CC=C%28)=O)\C%29=C(C#N)/C#N)=C%27)C(C=C%30)=CC=C%30CCCCCC)=C%19)C%31=CC=C(CCCCCC)C=C%31
IM-BDTIDT2,CCCCCCC1=CC=C(C=C1)C(C2=C3C=C(C(C4C5SC(/C=C(C(C6=C7C=CC=C6)=O)\C7=C(C#N)/C#N)=C4)(C8=CC=C(CCCCCC)C=C8)C9=CC=C(CCCCCC)C=C9)C5=C2)(C%10C3SC(C%11=CC%12=C(C%13=CC=C(CC(CCCC)CC)S%13)C%14=C(C=C(C%15=CC(C%16S%15)C(C%17=CC=C(CCCCCC)C=C%17)(C%18=CC=C(CCCCCC)C=C%18)C(C%16=C%19)=CC%20=C%19C(C%21=CC=C(CCCCCC)C=C%21)(C%22C%20SC(/C=C(C(C%23=C%24C=CC=C%23)=O)\C%24=C(C#N)/C#N)=C%22)C(C=C%25)=CC=C%25CCCCCC)S%14)C(C%26=CC=C(CC(CCCC)CC)S%26)=C%12S%11)=C%10)C%27=CC=C(CCCCCC)C=C%27
ITIC-Th,O=C1C2=C(C(/C1=C/C3=CC4=C(C(C(C5=C6C=C(C7=C5)C(C8=CC=C(S8)CCCCCC)(C9=CC=C(S9)CCCCCC)C%10C7SC%11=C%10SC(/C=C(/C%12=C(C#N)\C#N)C(C%13=C%12C=CC=C%13)=O)=C%11)(C%14=CC=C(S%14)CCCCCC)C%15=CC=C(S%15)CCCCCC)C6S4)S3)=C(C#N)/C#N)C=CC=C2
ITIC-Th1,O=C1C(C=CC(F)=C2)=C2/C(C1=CC(S3)=CC4=C3C(C5S4)C(C6=CC=C(CCCCCC)S6)(C7=C5C=C(C(C8C9SC%10=C8SC(C=C(C(C%11=C/%12C=C(F)C=C%11)=O)C%12=C(C#N)/C#N)=C%10)(C%13=CC=C(CCCCCC)S%13)C%14=CC=C(CCCCCC)S%14)C9=C7)C%15=CC=C(CCCCCC)S%15)=C(C#N)/C#N
ITIC-Th2,O=C1C(C=C(F)C(F)=C2)=C2/C(C1=CC(S3)=CC4=C3C(C5S4)C(C6=CC=C(CCCCCC)S6)(C7=C5C=C(C(C8C9SC%10=C8SC(C=C(C(C%11=C/%12C=C(F)C(F)=C%11)=O)C%12=C(C#N)/C#N)=C%10)(C%13=CC=C(CCCCCC)S%13)C%14=CC=C(CCCCCC)S%14)C9=C7)C%15=CC=C(CCCCCC)S%15)=C(C#N)/C#N
