name,smiles,homo,lumo,gap
P3HT,CCCCCCC1=C(C)SC(C)=C1,0,0,0
PffBT4T-2DT,CCCCCCCCCCC(CCCCCCCCCCCC)CC1=C(C)SC(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C26)=C1,1,1,1
PffBT4T-2OD,CCCCCCCCC(CCCCCCCCCC)CC1=C(C)SC(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C26)=C1,2,2,2
FTAZ,FC1=C(C2=CC=C(C(S3)=CC4=C3C(CCC(CCCCCC)CCCC)=C(C=C(C)S5)C5=C4CCC(CCCC)CCCCCC)S2)C6=NN(CC(CCCCCC)CCCC)N=C6C(C7=CC=C(C)S7)=C1F,3,3,3
PTB7,CC1=CC2=C(OCC(CC)CCCC)C3=C(C=C(C4=C5C(C(F)=C(C(OCC(CCCC)CC)=O)S5)=C(C)S4)S3)C(OCC(CCCC)CC)=C2S1,4,4,4
PTB7-Th,CC1=CC2=C(C3=CC=C(CC(CC)CCCC)S3)C4=C(C=C(C5=C6C(C(F)=C(C(OCC(CCCC)CC)=O)S6)=C(C)S5)S4)C(C7=CC=C(CC(CCCC)CC)S7)=C2S1,5,5,5
J71,CC1=CC2=C(C3=CC=C([Si](CCC)(CCC)CCC)S3)C4=C(C=C(C(S5)=CC=C5C6=C(F)C(F)=C(C7=NN(CC(CCCCCC)CCCCCCCC)N=C76)C8=CC=C(C)S8)S4)C(C9=CC=C([Si](CCC)(CCC)CCC)S9)=C2S1,6,6,6
J51,CC1=CC2=C(C3=CC=C(CC(CCCCCCCC)CCCCCC)S3)C4=C(C=C(C(S5)=CC=C5C6=C(F)C(F)=C(C7=NN(CCCCCCCC)N=C76)C8=CC=C(C)S8)S4)C(C9=CC=C(CC(CCCCCCCC)CCCCCC)S9)=C2S1,7,7,7
J52,CC1=CC2=C(C3=CC=C(CC(CC)CCCC)S3)C4=C(C=C(C(S5)=CC=C5C6=C(F)C(F)=C(C7=NN(CC(CCCCCCCC)CCCCCC)N=C76)C8=CC=C(C)S8)S4)C(C9=CC=C(CC(CC)CCCC)S9)=C2S1,8,8,8
J60,CC1=CC2=C(C3=CC=C(SCC(CCCC)CC)S3)C4=C(C=C(C(S5)=CC=C5C6=C(F)C(F)=C(C7=NN(CC(CCCCCCCC)CCCCCC)N=C76)C8=CC=C(C)S8)S4)C(C9=CC=C(SCC(CC)CCCC)S9)=C2S1,9,9,9
J61,CC1=CC2=C(C3=CC=C(SCCCCCCCCCCCC)S3)C4=C(C=C(C(S5)=CC=C5C6=C(F)C(F)=C(C7=NN(CC(CCCCCCCC)CCCCCC)N=C76)C8=CC=C(C)S8)S4)C(C9=CC=C(SCCCCCCCCCCCC)S9)=C2S1,10,10,10
PBDB-T,O=C1C2=C(SC(C)=C2C(C3=C(SC(CC(CCCC)CC)=C31)CC(CCCC)CC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC=C(S7)CC(CCCC)CC)=C8C=C(SC8=C6C9=CC=C(S9)CC(CCCC)CC)C,11,11,11
PBDB-T-SF,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(F)=C(SCC(CCCC)CC)S6)=C7C=C(C)SC7=C5C8=CC(F)=C(SC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,12,12,12
PDBT-T1,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC=C(CC(CCCC)CC)S6)=C7C=C(C)SC7=C5C8=CC=C(CC(CCCC)CC)S8)S4)S3)SC(C)=C2C(C9=C(CCCCCCCC)SC(CCCCCCCC)=C91)=O,13,13,13
PBDB-T-2Cl,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(Cl)=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC(Cl)=C(CC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,14,14,14
PBDB-T-2F,O=C1C2=C(C3=CC=C(C4=CC5=C(C(C6=CC(F)=C(CC(CC)CCCC)S6)=C7C=C(C)SC7=C5C8=CC(F)=C(CC(CC)CCCC)S8)S4)S3)SC(C)=C2C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C91)=O,15,15,15
P2F-EH,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(C8=C(C9=NN(N=C79)CC(CC)CCCC)C)C(N(C8=O)CCCCCCCC)=O)=C%10)=C%10F)CCCC,16,16,16
P2F-EHp,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(C8=C(C9=NN(N=C79)CCC(CC)CCCC)C)C(N(C8=O)CCCCCCCC)=O)=C%10)=C%10F)CCCC,17,17,17
P2F-EO,CCC(CC(C(F)=CC(C1=C2C=C(SC2=C(C3=C1SC(C4=CC=C(S4)C)=C3)C5=CC(F)=C(C(F)=C5)CC(CC)CCCC)C6=CC=C(S6)C7=C(C8=C(C9=NN(N=C79)CCCC(CC)CCCC)C)C(N(C8=O)CCCCCCCC)=O)=C%10)=C%10F)CCCC,18,18,18
PPBDTBT,CC1=C(OCC(CCCCCCCCCCCC)CCCCCCCCCC)C(F)=C(C(S2)=CC=C2C(SC3=C4C5=CC=C(SCC(CC)CCCC)C=C5)=CC3=C(C6=CC=C(SCC(CC)CCCC)C=C6)C(S7)=C4C=C7C8=CC=C(C)S8)C9=NSN=C19,19,19,19
PBDTTPD-HT,CC1=CC(CCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CC)CCCC)S4)=C5C=C(C6=C(CCCCCC)C=C(C7=C(C(N(CCCCCCCC)C8=O)=O)C8=C(C)S7)S6)SC5=C3C9=CC=C(CC(CC)CCCC)S9)S2)S1,20,20,20
PTZ1,CC1=CC(CC(CCCCCC)CC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCCCC)CCCC)S4)=C5C=C(C6=C(CC(CCCCCC)CC)C=C(C7=NC(SC(C)=N8)=C8S7)S6)SC5=C3C9=CC=C(CC(CCCCCCCC)CCCC)S9)S2)S1,21,21,21
PBDT-TDZ,CC1=CC(CCCCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCC)CCCC)S4)=C5C=C(C6=C(CCCCCCCC)C=C(C7=NN=C(C)S7)S6)SC5=C3C8=CC=C(CC(CCCCCC)CCCC)S8)S2)S1,22,22,22
PBDTS-TDZ,CC1=CC(CCCCCCCC)=C(C2=CC3=C(C(C4=CC=C(CC(CCCCCC)CCCC)S4)=C5C=C(C6=C(CCCCCCCC)C=C(C7=NN=C(C)S7)S6)SC5=C3C8=CC=C(CC(CCCCCC)CCCC)S8)S2)S1,23,23,23
PBDB-ST,O=C1C2=C(SC(C)=C2C(C3=C(SC(CC(CCCC)CC)=C31)CC(CCCC)CC)=O)C4=CC=C(S4)C5=CC6=C(S5)C(C7=CC=C(S7)SCC(CC)CCCC)=C8C=C(SC8=C6C9=CC=C(S9)SC(CCCC)CC)C,24,24,24
HFQx-T,CC1=CC=C(S1)C2=CC3=C(S2)C(C4=CC=C(S4)CC(CCCC)CC)=C5C=C(SC5=C3C6=CC=C(S6)CC(CCCC)CC)C7=CC=C(C8=C9C(N=C(C%10=CC(F)=C(OCC(CCCC)CC)C(F)=C%10)C(C%11=CC(F)=C(OCC(CCCC)CC)C(F)=C%11)=N9)=C(C)C(F)=C8F)S7,25,25,25
