bridge_id,sub_id,smiles
1,0,CC1=CC=C(CC)C2C1N=S=N2
1,1,CC1=C(CCCCCCCC)C(CCCCCCCC)=C(CC)C2C1N=S=N2
2,0,CC1=CC=C(CC)S1
2,1,CC1=CC(CCCCCCCC)=C(CC)S1
2,2,CC1=C(CC(CCCC)CC)C=C(CC)S1
2,3,CC1=C(OCC(CCCC)CC)C=C(CC)S1
2,4,CC1=C(CCCCCC)C=C(CC)S1
3,0,CC1=CC=C(CC)O1
4,0,CC1=C2C(N=C(C3=CC=CC=C3)C(C4=CC=CC=C4)=N2)=C(CC)C=C1
5,0,CC1=C2SC=CC2=C(S1)CC
5,1,CC1=C2SC(C(OCCCCCCCC)=O)=CC2=C(S1)CC
5,2,CC1=C2SC(CCCCCCCC)=CC2=C(S1)CC
6,0,CC1=NC=C(S1)CC
8,0,CC1=C(SC=C2)C2=C(CC)C3C1N=S=N3
8,1,CC1=C(SC(C(OCC)=O)=C2)C2=C(CC)C3C1N=S=N3
9,0,CC1=CC(C2S1)CC3=C2C=C(CC4C5SC(CC)=C4)C5=C3
9,1,CC1=CC(C2S1)C(C3=CC=C(CCCCCC)C=C3)(C4=CC=C(CCCCCC)C=C4)C5=C2C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8C9SC(CC)=C8)C9=C5
10,0,CC1=CC=C(CC)C2=NNN=C12
10,1,CC1=CC=C(CC)C2=NN(CCCCCCCC)N=C12
11,0,CC1=CC=C(CC)[Se]1
12,0,CC1=CC=C(CC)C=C1
12,1,CC1=C(CCCCCCCC)C=C(CC)C(CCCCCCCC)=C1
12,2,CC1=C(OCCCCCCCC)C=C(CC)C(OCCCCCCCC)=C1
13,0,CC1=CC(CC)=CS1
13,1,CC1=C(OCC(CCCC)CC)C(CC)=CS1
14,0,C/C=C/CC
15,0,CC1=CC=C(C(NC2=O)=C3C2=C(C4=CC=C(CC)S4)NC3=O)S1
15,1,CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C3C2=C(C4=CC=C(CC)S4)N(CC(CCCC)CC)C3=O)S1
