core_id,sub_id,smiles
1,1,CCC(CCCC)C[Si]1(CC(CCCC)CC)C2=C(C=CC=C2)C3=CC=CC=C31
3,1,CCCCCCCCC1(CCCCCCCC)C2=C(C=CC=C2)C3=CC=CC=C31
3,2,CCC(CCCC)CC1(CC(CCCC)CC)C2=C(C=CC=C2)C3=CC=CC=C31
3,3,CCCCCCCCCCC1(CCCCCCCCCC)C2=C(C=CC=C2)C3=CC=CC=C31
5,1,CCC(CCCC)CC(S1)=CC=C1C2=C3C(C=CS3)=C(C4=CC=C(CC(CCCC)CC)S4)C5=C2C=CS5
7,1,CCCCCCC(C=C1)=CC=C1C(C2C3SC=C2)(C4=CC=C(CCCCCC)C=C4)C5=C3C=C(C(C6=CC=C(CCCCCC)C=C6)(C7=CC=C(CCCCCC)C=C7)C8C9SC=C8)C9=C5
7,2,CCCCCCC(C1C2SC=C1)(CCCCCC)C3=C2C=C(C(CCCCCC)(CCCCCC)C4C5SC=C4)C5=C3
7,3,CCCCCCCCC(C1C2SC=C1)(C3=CC=C(CCCCCC)C=C3)C4=C2C=C(C(C5=CC=C(CCCCCC)C=C5)(CCCCCCCC)C6C7SC=C6)C7=C4
7,4,CCCCCCCCC(C1C2SC=C1)(CCCCCCCC)C3=C2C=C(C(CCCCCCCC)(CCCCCCCC)C4C5SC=C4)C5=C3
7,5,CCC(CCCCCC)CC(C1C2SC=C1)(CC(CCCCCC)CC)C3=C2C=C(C(CC(CCCCCC)CC)(CC(CCCCCC)CC)C4C5SC=C4)C5=C3
8,1,CCCCCCC(S1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(CCCCCC)S5)C6=C3C=C(C(C7=CC=C(CCCCCC)S7)(C8=CC=C(CCCCCC)S8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,2,CCCCCCC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(CCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(CCCCCC)C=C7)(C8=CC=C(CCCCCC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,3,CCCCCCOC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(OCCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(OCCCCCC)C=C7)(C8=CC=C(OCCCCCC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,4,CCCCCCOC1=CC(C(C2C3SC4=C2SC=C4)(C5=CC(OCCCCCC)=CC=C5)C6=C3C=C(C(C7=CC=CC(OCCCCCC)=C7)(C8=CC(OCCCCCC)=CC=C8)C9C%10SC%11=C9SC=C%11)C%10=C6)=CC=C1
8,5,CCCCCCOC(C(F)=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC(F)=C(OCCCCCC)C=C5)C6=C3C=C(C(C7=CC(F)=C(OCCCCCC)C=C7)(C8=CC=C(OCCCCCC)C(F)=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,6,CCCCCC[Se]C(C1C2SC3=C1SC=C3)([Se]CCCCCC)C4=C2C=C(C([Se]CCCCCC)([Se]CCCCCC)C5C6SC7=C5SC=C7)C6=C4
8,7,CCCCCCSC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(SCCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(SCCCCCC)C=C7)(C8=CC=C(SCCCCCC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,8,CCCCCCCCSC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(SCCCCCCCC)C=C5)C6=C3C=C(C(C7=CC=C(SCCCCCCCC)C=C7)(C8=CC=C(SCCCCCCCC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,9,CCCC(CCCCCC)CSC(C=C1)=CC=C1C(C2C3SC4=C2SC=C4)(C5=CC=C(SCC(CCCCCC)CC)C=C5)C6=C3C=C(C(C7=CC=C(SCC(CCCCCC)CC)C=C7)(C8=CC=C(SCC(CCCCCC)CC)C=C8)C9C%10SC%11=C9SC=C%11)C%10=C6
8,10,CCCCCCC1=CC(C(C2C3SC4=C2SC=C4)(C5=CC=CC(CCCCCC)=C5)C6=C3C=C(C(C7=CC(CCCCCC)=CC=C7)(C8=CC(CCCCCC)=CC=C8)C9C%10SC%11=C9SC=C%11)C%10=C6)=CC=C1
8,11,CCCCCCCCOC1=CC=CC(C2(C3=CC(OCCCCCCCC)=CC=C3)C4=CC5=C(C(C6=CC=CC(OCCCCCCCC)=C6)(C7=CC=CC(OCCCCCCCC)=C7)C8C5SC9=C8SC=C9)C=C4C%10C2C(SC=C%11)=C%11S%10)=C1
10,1,O=C1N(CC(CCCC)CC)C(C2=CC=CS2)=C3C(N(CC(CCCC)CC)C(C4=CC=CS4)=C31)=O
11,1,CCCCCCCCC(CCCCCCCC)N1C2=C(C=CC=C2)C3=CC=CC=C31
12,1,CCCCCCCCC(C1=C2SC=C1)(CCCCCCCC)C3=C2SC=C3
12,2,CCC(CCCC)CC(C1=C2SC=C1)(CC(CCCC)CC)C3=C2SC=C3
