terminal_id,sub_id,smiles
1,0,C=C(SC(N1)=S)C1=O
1,1,C=C(SC(N1CCCCCCCC)=S)C1=O
1,2,C=C(SC(N1CC)=S)C1=O
2,0,C=C(S/C(N1)=C(C#N)/C#N)C1=O
2,1,C=C(S/C(N1CC)=C(C#N)/C#N)C1=O
2,2,C=C(S/C(N1CCCCCC)=C(C#N)/C#N)C1=O
2,3,C=C(S/C(N1CCCCCCCC)=C(C#N)/C#N)C1=O
3,0,CC#N
4,0,O=C1C(C=CC=C2)C2/C(C1=C)=C(C#N)/C#N
4,1,O=C1C(C=CC(F)=C2)C2/C(C1=C)=C(C#N)/C#N
4,2,O=C1C(C=C(F)C(F)=C2)C2/C(C1=C)=C(C#N)/C#N
4,3,O=C1C(C=CC(OC)=C2)C2/C(C1=C)=C(C#N)/C#N
4,4,O=C1C(C=C(Cl)C(Cl)=C2)C2/C(C1=C)=C(C#N)/C#N
4,5,O=C1C(C=CC(Cl)=C2)C2/C(C1=C)=C(C#N)/C#N
4,6,O=C1C(C=CC(Br)=C2)C2/C(C1=C)=C(C#N)/C#N
4,7,O=C1C(C=CC(C)=C2)C2/C(C1=C)=C(C#N)/C#N
4,8,O=C1C(C=CC(I)=C2)C2/C(C1=C)=C(C#N)/C#N
4,9,O=C1C(C=CC(OCC)=C2)C2/C(C1=C)=C(C#N)/C#N
4,10,O=C1C(C=CC(OCCC)=C2)C2/C(C1=C)=C(C#N)/C#N
4,11,O=C1C(C=CC(OCCCC)=C2)C2/C(C1=C)=C(C#N)/C#N
4,12,O=C1C(C=CC=C2OC)C2/C(C1=C)=C(C#N)/C#N
4,13,O=C1C(C=C(OC)C=C2)C2/C(C1=C)=C(C#N)/C#N
4,14,O=C1C(C(OC)=CC=C2)C2/C(C1=C)=C(C#N)/C#N
5,0,O=C1C(C=C(C=CC=C2)C2=C3)C3/C(C1=C)=C(C#N)/C#N
6,0,O=C(C1=C)C2C(C=CC=C2)C1=O
7,0,O=C1C2=CSC=C2/C(C1=C)=C(C#N)/C#N
7,1,O=C1C2=C(C)SC=C2/C(C1=C)=C(C#N)/C#N
8,0,O=C1C(SC=C2)=C2/C(C1=C)=C(C#N)/C#N
9,0,CC1=CC=C(C(NC2=O)=C3C2=C(C4=CC=CS4)NC3=O)S1
9,1,CC1=CC=C(C(N(CC(CCCC)CC)C2=O)=C3C2=C(C4=CC=CS4)N(CC(CCCC)CC)C3=O)S1
10,0,C=C(C#N)C#N
11,0,C/C(C#N)=C(C#N)/C#N
12,0,C=C(C(NC(N1)=O)=O)C1=O
12,1,C=C(C(N(C)C(N1C)=O)=O)C1=O
12,2,C=C(C(N(CC)C(N1CC)=O)=O)C1=O
12,3,C=C(C(N(CCCCCCCC)C(N1CCCCCCCC)=O)=O)C1=O
12,4,C=C(C(N(CCCC)C(N1CCCC)=O)=O)C1=O
13,0,C=C(C(OC)=O)C#N
14,0,C=C1SC=CS1
14,1,C=C1SC(SCCCCCC)=C(SCCCCCC)S1
15,0,C=C(SC(N1)=O)C1=O
15,1,C=C(SC(N1CC)=O)C1=O
15,2,C=C(SC(N1CCCCCC)=O)C1=O
16,0,CC1=CC=CC=C1
16,1,CC1=CC=C(C#N)C=C1
16,2,CC1=CC=C(C(F)(F)F)C=C1
17,0,O=C(C(C#N)=C(C)C1=C)NC1=O
17,1,O=C(C(C#N)=C(C)C1=C)N(CC)C1=O
17,2,O=C(C(C#N)=C(C)C1=C)N(CCCC)C1=O
