donor,NFA,Voc(V),Jsc(mA/cm2),FF(%),PCE(%),Spin speed(rpm),Spin time(s),solution,D/A ratio,concentration(mg/mL),additive,post process,Tickness of Active layer(nm),electron mobility(cm2V-1s-1),hole mobility(cm2V-1s-1),CCL,packing motif,pi-pi packing distance(Angstrom),absorption edge of film(nm),absorption peak(nm),HOMO(calc),LUMO(calc),HOMO(elec),LUMO(elec),Eg(opt),Eg(elec),Eg(calc),Source
NpPI-BTCN,P3HT,N/A,N/A,N/A,N/A,1000,120,CF,1:2,N/A,0,0,100,N/A,N/A,N/A,N/A,N/A,416,380,N/A,N/A,N/A,-3.48,2.98,N/A,N/A,10.1246/cl.150072
DC-IDT2T,PBDB-T,N/A,N/A,N/A,N/A,N/A,N/A,CB,N/A,10,0,0,N/A,N/A,N/A,N/A,N/A,N/A,800,725,N/A,N/A,-5.43,-3.85,1.55,1.58,N/A,10.1039/C7TA05774A
FOIC,PTB7-Th,0.737 ,23.1 ,67.1 ,11.42 ,1500,N/A,CF,1:1.8,10,0,0,65,N/A,N/A,18,FACE,N/A,940,836,N/A,N/A,-5.36,-3.92,1.32,1.44,N/A,10.1002/adma.201705969
FOIC,PTB7-Th,0.740 ,23.5 ,66.8 ,11.62 ,1500,N/A,CF,1:1.5,10,0,0,65,5.10E-04,1.00E-03,18,FACE,N/A,940,836,N/A,N/A,-5.36,-3.92,1.32,1.44,N/A,10.1002/adma.201705969
FOIC,PTB7-Th,0.739 ,23.5 ,65.4 ,11.36 ,1500,N/A,CF,1:1.2,10,0,0,65,N/A,N/A,18,FACE,N/A,940,836,N/A,N/A,-5.36,-3.92,1.32,1.44,N/A,10.1002/adma.201705969
IDT2Se-4F,PBDB-T,0.79,21.35,65.4,11.03 ,N/A,60,CB,1:1,20,0,"SVA(CF,90)+AN(80,10)",110,1.64E-04,2.08E-04,N/A,FACE,N/A,892,789,-5.37,-3.45,-5.51,-4,1.39,1.51,1.92,10.1039/C8TA00783G
IDTO,PBDB-T,0.943,15.94,64.37,9.68 ,3000,N/A,CF,1:1,N/A,0,"AN(160,2)",100,1.10E-04,1.78E-04,N/A,N/A,N/A,810,723,N/A,N/A,-5.11,-3.38,1.53,1.73,N/A,10.1021/acsami.7b10275
IDT2Se-4F,PBDB-T,0.79,21.00,64.1,10.63 ,N/A,60,CB,1:1,20,0,"SVA(CF,90)+AN(100,10)",110,N/A,N/A,N/A,FACE,N/A,892,789,-5.37,-3.45,-5.51,-4,1.39,1.51,1.92,10.1039/C8TA00783G
IDT2Se-4F,PBDB-T,0.80,20.52,64.0,10.51 ,N/A,60,CB,1:1,20,0,"SVA(CF,90)",110,1.50E-04,1.97E-04,N/A,FACE,N/A,892,789,-5.37,-3.45,-5.51,-4,1.39,1.51,1.92,10.1039/C8TA00783G
IDT2Se-4F,PBDB-T,0.80,20.48,63.9,10.47 ,N/A,60,CB,1:1,20,0,"SVA(CF,120)",110,N/A,N/A,N/A,FACE,N/A,892,789,-5.37,-3.45,-5.51,-4,1.39,1.51,1.92,10.1039/C8TA00783G
IDT2Se-4F,PBDB-T,0.81,18.24,63.8,9.43 ,N/A,60,CB,1:1,20,0,0,80,N/A,N/A,N/A,FACE,N/A,892,789,-5.37,-3.45,-5.51,-4,1.39,1.51,1.92,10.1039/C8TA00783G
